YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1995,39.6,34.3,49.2,56.3,65.8,74.6,81.5,81.3,70.9,62.3,43.1,35.6
1996,32.9,37.3,42.9,56.8,63.9,77.2,77.6,76.5,70.6,59.4,44.1,43
1997,37,44.7,48.7,54,62.9,73.1,80.4,77.6,70.5,59.6,46.2,41
1998,43,43.4,46.9,57.4,67.5,73,78.9,79.4,75.4,60.1,50.3,44.4
1999,38.2,41,44.5,56.5,67.3,74.7,83,79.7,70,57.2,53.1,42
2000,35.9,42.5,51.7,55.6,67.8,74.7,74.7,75.1,67.6,60.2,46.7,31.8
2001,35.5,40.9,43.8,57.6,65.9,75.2,75.3,78.9,68.9,59.7,54.8,45.5
2002,41.6,42.6,47.7,60,65.2,76.1,80.9,81.1,73,58.7,47.1,37.2
2003,31.1,33.7,47.1,55.1,61.7,71.4,77.8,78.8,70.5,57.5,53.1,39.2
2004,30.6,38.2,48.8,57.4,71.8,73.4,78.6,75.9,71.6,58.3,51,40.1
2005,36.1,39.6,43.1,57.3,61.9,75.7,80.5,80.1,75,60.5,50.2,36.4
2006,43.1,38.6,47.9,59.5,65.1,74.5,80.4,80.6,67.8,57.3,50.7,44.2
2007,40.7,30.9,47.7,53.6,67.8,76.1,79.3,79.7,72.9,67.1,49.8,41.8
2008,40,41,49,58.9,64.7,77.9,80.8,77.9,74,58.9,46.6,40.3
2009,31.7,39.8,45.2,57,65.5,73.7,76.9,79.9,70.2,58.5,52.2,37.9
2010,35.3,34.2,51.2,60.9,69.4,80.6,83.1,80.2,75.5,61.6,50.5,34.6
2011,33.7,41.8,45.6,58.8,68.4,78.8,84.5,80,71.3,58.4,52.4,45
2012,40.8,44.4,56.8,58.3,71.4,76.3,84,81,72.2,61,46.6,45.4
2013,40.3,38.4,43.8,58.9,66.7,76.5,81.2,77.1,71.3,62.4,46.6,42.3
2014,32.2,37.8,42.9,57.3,68.5,77.2,79.4,77.7,73.8,62.9,48,43.7
2015,35.6,30.3,45.3,59.4,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76,63.1,52.6,41.8
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81,75.5,62.6,46.5,43.5
2019,37.2,42.2,46.8,62.4,71,76.4,82.1,80.1,76.5,63.9,39.5,60.1
